gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
D:16,dc,16.0,0.0,0.0,1.0,16.0,16.0,5,1,1000,15.995,15.995,15.995,15.995,nan,15.997525
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.68503937007874,1,1,1000,19.789,19.789,19.789,19.789,17.37010890000238,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.68503937007874,2,1,1000,19.776,19.776,19.776,19.776,17.37010890000238,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.68503937007874,3,1,1000,19.789,19.789,19.789,19.789,17.37010890000238,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.68503937007874,4,1,1000,19.698,19.698,19.698,19.698,17.37010890000238,nan
A1,pulse,40.0,5.0,10.0,0.5,20.0,19.68503937007874,5,1,1000,19.73,19.73,19.73,19.73,17.37010890000238,nan
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.0,1,1,1000,19.995,19.995,19.995,19.995,nan,19.9983
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.0,2,1,1000,19.997,19.997,19.997,19.997,nan,19.998174999999996
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.0,3,1,1000,19.996,19.996,19.996,19.996,nan,19.99805
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.0,4,1,1000,19.996,19.996,19.996,19.996,nan,19.997999999999998
D:20,dc,20.0,0.0,0.0,1.0,20.0,20.0,5,1,1000,19.997,19.997,19.997,19.997,nan,19.997999999999998
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,1,1,1000,38.078,38.078,38.078,38.078,17.365292199996475,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,2,1,1000,37.96,37.96,37.96,37.96,17.365292199996475,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,3,1,1000,39.007,39.007,39.007,39.007,17.365292199996475,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,4,1,1000,37.958,37.958,37.958,37.958,17.365292199996475,nan
K9,pulse,4200.0,0.2,21.5,0.00930232558139535,39.06976744186047,38.78116343490305,5,1,1000,38.942,38.942,38.942,38.942,17.365292199996475,nan
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.06976744186047,1,1,1000,39.067,39.067,39.067,39.067,nan,39.06956666666667
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.06976744186047,2,1,1000,39.067,39.067,39.067,39.067,nan,39.0694
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.06976744186047,3,1,1000,39.066,39.066,39.066,39.066,nan,39.069325
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.06976744186047,4,1,1000,39.068,39.068,39.068,39.068,nan,39.069275
